region,cases
Alexandra Parade,6
Anderston,8
Anniesland,40
Arden,
Auchenshuggle,
Auldhouse,
Baillieston,37
Balornock,10
Barlanark,38
Barmulloch,16
Barrachnie,
Barrowfield,
Battlefield,8
Bellahouston,
Blackhill,19
Blairdardie,20
Blochairn,
Botany,
Braidfauld,15
Bridgeton,17
Broomhill,11
Broomhouse,
Budhill,
Cadder,
Calton,3
Camlachie,
Cardonald,21
Carmunnock,9
Carmyle,8
Carntyne,42
Carnwadric,18
Castlemilk,11
Cathcart,14
Central Easterhouse,6
City Centre,42
Cessnock,
Colston,
Corkerhill,
Cowcaddens,
Cowglen,
Cowlairs,8
Craigend,22
Craigton,7
Cranhill,20
Croftfoot,
Crookston,19
Crosshill,
Crossmyloof,
Dalmarnock,32
Darnley,58
Deaconsbank,
Dennistoun,46
Dowanhill,5
Drumchapel,8
Drumoyne,18
Drumry,15
Dumbreck,
Easterhouse,13
Eastwood,
Fairfield,
Firhill,10
Gallowgate,16
Garnethill,
Garrowhill,18
Garscadden,
Garthamlock,12
Germiston,
Glenwood,28
Gilshochill,
Gorbals,8
Govan,17
Govanhill,33
Greenfield,13
Haghill,
Halfway,
Hamiltonhill,
High Possil,
High Ruchill,
Hillhead,8
Hillington,3
Hillpark,
Hogganfield,
Househillwood,
Hurlet,
Hutchesontown,
Hyndland,
Ibrox,15
Jenny Lind,
Jordanhill,
Kelvinbridge,
Kelvindale,3
Kelvingrove,15
Kelvinhaugh,16
Kelvinside,8
Kennishead,
Keppochhill,11
King's Park,38
Kingston,11
Kinning Park,16
Knightswood,25
Lambhill,
Lancefield,
Langlands,
Langshot,
Langside,12
Laurieston,11
Lightburn,
Lilybank,
Linthouse,
Mansewood,
Maryhill,15
Maryhill Park,
Mavisbank,
Maxwell Park,20
Merchant City,
Merrylee,8
Millerston,
Milton,35
Moorepark,
Mosspark,5
Mount Florida,16
Mount Vernon,16
Muirend,5
Netherton,
Newbank,
Newlands,14
Nitshill,13
North Kelvinside,
Oatlands,
Park District,
Parkhead,83
Parkhouse G22,
Parkhouse G53,
Partick,21
Partickhill,15
Penilee,21
Petershill,10
Pollok,25
Pollokshaws,11
Pollokshields,55
Polmadie,
Port Dundas,
Port Eglinton,
Possilpark,12
Priesthill,
Provanhall,
Provanmill,
Queen's Park,
Queenslie,
Riddrie,20
Robroyston,23
Rosshall,
Roughmussel,
Royston,16
Ruchazie,
Ruchill,10
Sandyford,
Sandyhills,
Scotstoun,12
Scotstounhill,
Shawlands,20
Shettleston,29
Shieldhall,
Sighthill,3
Simshill,
South Nitshill,
Southpark Village,
Springboig,
Springburn,26
Springhill,
Stobcross,
Stobhill,
Strathbungo,13
Summerston,15
Summertown,
Swinton,
Temple,
Tollcross,9
Toryglen,16
Townhead,
Tradeston,
Wearieston.,
Wellhouse,
Whiteinch,3
Woodlands,24
Woodside,3
Wyndford,7
Yoker,12
Yorkhill.,
